Timestamp,CPU(%),Mem Heap(b/s),Mem Nonheap(b/s),Net I(b/s),Net O(b/s),Disk io(%),Disk read(kB/s),Disk write(kB/s)
2023-12-03 02:20:00,0.06691201070605322,466033.77777777775,0,677.3333333333334,10797.866666666667,0.1333333333333068,0,2184.5333333333333
2023-12-03 02:21:00,0.20060180541631945,466033.77777777775,0,745.6,10850.133333333333,0.1333333333333068,0,8192
2023-12-03 02:22:00,5.180481283422204,466033.77777777775,0,71564.8,250585.6,0.13333333333335418,0,3822.9333333333334
2023-12-03 02:23:00,12.381916329285826,1365865.0666666664,70.04444444444444,216053.33333333334,740332.8,0.39992001599676846,0,134867.95974138504
2023-12-03 02:24:00,8.549309996633587,466033.77777777775,0,147139.2,508734.93333333335,0.0666666666666534,0,546.1333333333333
2023-12-03 02:25:00,13.575717144765006,466033.77777777775,987.0222222222221,215976.53333333333,747042.1333333333,0.2666133439978614,0,126131.57368526295
2023-12-03 02:26:00,9.503167722574588,1296654.5777777776,0,142670.4,498521.06666666665,0.0666666666666534,0,1092.2666666666667
2023-12-03 02:27:00,10.690348525470071,466033.77777777775,0,174005.33333333334,604473.0666666667,0.0666666666666534,0,819.2
2023-12-03 02:28:00,3.9607312119154803,466033.77777777775,42.666666666666664,73238.4,255158.93333333332,0.06665333599945351,0,273.0120642538159
2023-12-03 02:29:00,4.2717793474604075,466033.77777777775,0,70829.86666666667,248186.66666666666,0.3333333333333144,0,134894.93333333332
2023-12-03 02:30:00,11.788617886178358,466033.77777777775,0,216754.66666666666,750006.4,0.06665333599945351,0,819.0361927614478
2023-12-03 02:31:00,0.13386880856770714,466033.77777777775,0,758.4,10915.2,0.3333333333333144,0,129160.53333333334
2023-12-03 02:32:00,0.16716817118012342,466033.77777777775,0,717.8666666666667,10849.6,0.0666666666666534,0,1092.2666666666667
2023-12-03 02:33:00,0.1336898395721495,1296418.133333333,110.93333333333332,745.6,10851.2,0.19999999999996018,0,122060.8
2023-12-03 02:34:00,0.3007016371532434,466033.77777777775,0,717.8666666666667,10863.466666666667,0,0,0
2023-12-03 02:35:00,0.06695681285565047,466033.77777777775,0,717.8666666666667,10941.866666666667,0.266666666666661,0,114141.86666666667
2023-12-03 02:36:00,0.30090270812443964,1365030.5777777776,0,717.8666666666667,10865.6,0,0,0
2023-12-03 02:37:00,0.1003344481606373,466033.77777777775,0,677.3333333333334,10810.133333333333,0.3333333333333144,0,129160.53333333334
2023-12-03 02:38:00,0.1003680160588191,466033.77777777775,71.1111111111111,717.8666666666667,10861.333333333334,0.06667555674088553,0,819.3092412321644
2023-12-03 02:39:00,0.1337345369440801,466033.77777777775,247.46666666666664,717.8666666666667,10955.733333333334,0.4000000000000152,0,125064.53333333334
2023-12-03 02:40:00,4.643337819650059,466033.77777777775,0,72924.8,256272,0,0,0
2023-12-03 02:41:00,8.079783637593367,466033.77777777775,0,142134.4,489833.06666666665,0.0666666666666534,0,819.2
2023-12-03 02:42:00,11.760729976343171,466033.77777777775,0,215925.86666666667,744885.8666666667,0,0,0
2023-12-03 02:43:00,8.009543285617584,1387134.0444444444,19.911111111111108,143679.46666666667,499609.06666666665,0,0,0
2023-12-03 02:44:00,7.765344184470326,466033.77777777775,378.3111111111111,141936.53333333333,494331.2,0.0666666666666534,0,819.2
2023-12-03 02:45:00,0.1337345369440845,466033.77777777775,88.17777777777776,766.9333333333333,10887.466666666667,0.3333333333333144,0,127795.2
2023-12-03 02:46:00,8.525033829500098,1320043.3777777776,0,143840,500053.86666666664,0,0,0
2023-12-03 02:47:00,10.397553516819997,466033.77777777775,0,184067.2,630893.8666666667,0.3999466737768449,0,131327.5563258232
2023-12-03 02:48:00,8.150152181263882,466033.77777777775,315.7333333333333,141072.53333333333,486857.06666666665,0.06666666666670078,0,273.06666666666666
2023-12-03 02:49:00,0.3013056578507628,466033.77777777775,0,717.8666666666667,10860.8,0.266666666666661,0,134348.8
2023-12-03 02:50:00,0.2672010688041638,1386980.4444444443,307.2,745.6,10859.2,0,0,0
2023-12-03 02:51:00,0.2005347593581266,466033.77777777775,0,741.3333333333334,10940.266666666666,0.3332888948140058,0,142794.82735635247
2023-12-03 02:52:00,0.1673360107094286,466033.77777777775,150.75555555555553,745.6,10854.4,0.1333333333333068,0,819.2
2023-12-03 02:53:00,0.10033444816047112,1320155.3777777776,0,909.8666666666667,11037.866666666667,0.3332666799973149,0,140328.20102646138
2023-12-03 02:54:00,0.16733601070936674,466033.77777777775,233.2444444444444,717.8666666666667,10857.066666666668,0.06665333599950087,0,546.0241285076318
2023-12-03 02:55:00,0.13373453694422247,466033.77777777775,93.86666666666666,745.6,10853.866666666667,0.266666666666661,0,129979.73333333334
2023-12-03 02:56:00,0.1338240214119258,466033.77777777775,0,717.8666666666667,10848,0.0666666666666534,0,546.1333333333333
2023-12-03 02:57:00,0.13373453694408008,466033.77777777775,0,717.8666666666667,10850.666666666666,0.26666666666670835,0,129433.6
2023-12-03 02:58:00,8.153638814016652,466033.77777777775,0,138656.53333333333,482822.93333333335,0.0666666666666534,0,546.1333333333333
2023-12-03 02:59:00,12.150790979467367,466033.77777777775,0,214682.13333333333,736615.4666666667,0.266666666666661,0,137625.6
2023-12-03 03:00:00,11.603518267929154,1326287.2888888887,0,213702.4,734666.1333333333,0.06665333599945351,0,819.0361927614478
2023-12-03 03:01:00,11.715057393652275,466033.77777777775,0,209744.53333333333,724040,0.266666666666661,0,135714.13333333333
2023-12-03 03:02:00,4.984843381610061,466033.77777777775,221.86666666666665,82685.86666666667,289352.5333333333,0,0,0
